prix_terasse,geoloc,address,name,date,zipcode,geometry,recordid,prix_salle,prix_comptoir,city,country
-,"[48.864269, 2.36858]",18 rue de Crussol,Panem,2012-05-11,75011,"{'coordinates': [2.36858, 48.864269], 'type': 'Point'}",67bdf3a6989f80749a1ba33a17b1370de0a0e1cd,-,0,Paris,France
-,"[48.885662, 2.319591]",47 rue de Batignolles,Petits Freres des Pauvres,2012-05-11,75017,"{'coordinates': [2.319591, 48.885662], 'type': 'Point'}",e27fd00149514bbfad7dd7e8f9b0c677df2d3f25,-,0,Paris,France
-,"[48.837212, 2.296046]",198 rue de la Convention,Café Dupont,2012-05-11,75015,"{'coordinates': [2.296046, 48.837212], 'type': 'Point'}",4d40e6d864dae81c152a05cb98e30933bde96aa1,-,0,Paris,France
-,"[48.871002, 2.30879]",28 rue de Ponthieu,L'Angle,2012-10-22,75008,"{'coordinates': [2.30879, 48.871002], 'type': 'Point'}",c40bd2d1f98b415e539c27cf68518d060ebab51e,1,1,Paris,France
-,"[48.888023, 2.353467]",19-23 rue Léon,Institut des Cultures d'Islam,2012-10-22,75018,"{'coordinates': [2.353467, 48.888023], 'type': 'Point'}",68d6d37b846e39bd8554e1f8f75974b486b0f27b,1,1,Paris,France
-,"[48.886044, 2.360781]",19 rue Pajol,Canopy Café associatif,2012-10-22,75018,"{'coordinates': [2.360781, 48.886044], 'type': 'Point'}",ff73bafb514bb68eb925c81aee43c3a58ac3c70d,1,1,Paris,France
-,"[48.870287, 2.332491]",place de l'opera,L'Entracte,2012-10-09,75002,"{'coordinates': [2.332491, 48.870287], 'type': 'Point'}",0039cd8bceb5e281677a158f832a660789088071,-,1,Paris,France
-,"[48.858709, 2.362701]",15 rue du Parc Royal,Le Sévigné,2012-10-09,75003,"{'coordinates': [2.362701, 48.858709], 'type': 'Point'}",adcc8b4f78f05ba7b24b0593e1516dfb7b415f91,-,1,Paris,France
-,"[48.839687, 2.347254]",35 rue Claude Bernard,Le Café d'avant,2012-10-09,75005,"{'coordinates': [2.347254, 48.839687], 'type': 'Point'}",b904fc48763938eee2169ba25aad2ffcc0dd6a9f,-,1,Paris,France
-,"[48.844244, 2.330407]",53 rue Notre-Dame des Champs,Le Lucernaire,2012-10-09,75006,"{'coordinates': [2.330407, 48.844244], 'type': 'Point'}",cc72af04314fd40e16ff611c799d378515043508,-,1,Paris,France
-,"[48.877599, 2.332111]",12 rue Blanche,Le Brigadier,2012-10-09,75009,"{'coordinates': [2.332111, 48.877599], 'type': 'Point'}",978d4bc68c9ebf81029d3e77274d2107777b8a75,-,1,Paris,France
-,"[48.826494, 2.359987]",26 rue du Docteur Magnan,L'âge d'or,2012-03-07,75013,"{'coordinates': [2.359987, 48.826494], 'type': 'Point'}",40bffbdc0c9ed1cbce820fed875d7c21d8964640,-,1,Paris,France
-,"[48.883717, 2.326861]",Place de Clichy,Bagels & Coffee Corner,2012-03-07,75017,"{'coordinates': [2.326861, 48.883717], 'type': 'Point'}",262facde9b8c4568c9ba7fbce8f069ff8c76948d,-,1,Paris,France
-,"[48.835843, 2.278501]",10 boulevard Victor,Café Victor,2012-03-07,75015,"{'coordinates': [2.278501, 48.835843], 'type': 'Point'}",e5817ec44ac5a7ea2e4a34b6a2e13d535156642b,-,1,Paris,France
